OSEBuildingID,CouncilDistrictCode,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),NumberofFloors,YearBuilt,Longitude,BuildingType,PrimaryPropertyType,Neighborhood,DefaultData,Latitude,ComplianceStatus,NumberofBuildings,TotalGHGEmissions,ListOfAllPropertyUseTypes,LargestPropertyUseTypeGFA,LargestPropertyUseType,ENERGYSTARScore,Electricity,NaturalGas,SteamUse,OtherFuelUse,SiteEnergyUse(kBtu)
1,7.0,88434.0,0.0,88434.0,12.0,1927.0,-122.33799371999999,NonResidential,Hotel,DOWNTOWN,No,47.612195125,Compliant,1.0,249.70499999999998,Hotel,88434.0,Hotel,62.5,0.5371832446431414,0.1793974228434745,0.2834299956773715,0.0,7103895.25
2,7.0,103566.0,15064.0,88502.0,11.0,1996.0,-122.33364378,NonResidential,Hotel,DOWNTOWN,No,47.613137915,Compliant,1.0,279.685,"Hotel, Parking, Restaurant",83880.0,Hotel,56.0,0.4269615500214787,0.5730480664152934,0.0,0.0,8371084.0
8,7.0,147735.0,37230.0,110505.0,18.0,1980.0,-122.3406969,NonResidential,Hotel,DOWNTOWN,No,47.6137522,Compliant,1.0,506.355,"Hotel, Parking, Swimming Pool",123445.0,Hotel,71.0,0.39428206031335056,0.6057265598694973,0.0,0.0,14500852.5
9,7.0,97288.0,37198.0,60090.0,2.0,1999.0,-122.336667155,Nonresidential COS,Other,DOWNTOWN,No,47.61633445,Compliant,1.0,303.21500000000003,Police Station,88830.0,Police Station,,0.6065984771279196,0.39341407538133943,0.0,0.0,12069300.0
10,7.0,83008.0,0.0,83008.0,11.0,1926.0,-122.33278543,NonResidential,Hotel,DOWNTOWN,No,47.61400705,Compliant,1.0,192.3,Hotel,81352.0,Hotel,26.0,0.4571327788210716,0.5428764622174314,0.0,0.0,6005818.5
11,7.0,102761.0,0.0,102761.0,8.0,1926.0,-122.33133474499999,NonResidential,Other,DOWNTOWN,No,47.61308617,Compliant,1.0,210.75,Other - Entertainment/Public Assembly,102761.0,Other - Entertainment/Public Assembly,,0.6086580926581875,0.055034545127108064,0.33632056545058187,0.0,6362076.75
12,7.0,163984.0,0.0,163984.0,15.0,1904.0,-122.332591625,NonResidential,Hotel,DOWNTOWN,No,47.60276467,Compliant,1.0,361.885,Hotel,163984.0,Hotel,44.5,0.5559530463437364,0.4440584873473133,0.0,0.0,13178782.0
13,7.0,63712.0,1496.0,62216.0,6.0,1910.0,-122.33199443499998,Multifamily MR (5-9),Mid-Rise Multifamily,DOWNTOWN,No,47.60281208,Compliant,1.0,160.56,Multifamily Housing,56132.0,Multifamily Housing,1.5,0.5351010500154568,0.1894801314440507,0.27542942741672094,0.0,4580504.0
17,7.0,65009.0,0.0,65009.0,9.0,1928.0,-122.33328268,NonResidential,Hotel,DOWNTOWN,No,47.607044695,Compliant,1.0,331.55,Hotel,65009.0,Hotel,43.5,0.22069642705860643,0.5074710605448985,0.27183751117123567,0.0,6701642.25
19,7.0,79790.0,12600.0,67190.0,11.0,1922.0,-122.3323844,NonResidential,Hotel,DOWNTOWN,No,47.60758321,Compliant,1.0,498.82,"Hotel, Parking",67390.0,Hotel,24.5,0.3691163430113169,0.19873847358294947,0.4321530346885517,0.0,10730730.5
22,7.0,103911.0,0.0,103911.0,6.0,1930.0,-122.33279590999999,NonResidential,Other,DOWNTOWN,No,47.60545293,Compliant,1.0,422.475,"Fitness Center/Health Club/Gym, Office, Swimming Pool",90000.0,Fitness Center/Health Club/Gym,,0.4799843107330175,0.07707862340822473,0.4429478311672482,0.0,10148339.0
24,7.0,57452.0,0.0,57452.0,5.0,1907.0,-122.33161016,NonResidential,Mixed Use Property,DOWNTOWN,No,47.605337985000006,Compliant,1.0,269.26,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",16442.0,Social/Meeting Hall,,0.4996579864496952,0.26628534445177005,0.23406690083959927,0.0,7543926.25
25,7.0,104352.0,0.0,104352.0,10.0,1916.0,-122.3319988,NonResidential,Hotel,DOWNTOWN,No,47.603869495,Compliant,1.0,380.27,Hotel,104352.0,Hotel,61.0,0.427730820257204,0.20358094459247145,0.3686923463253873,0.0,8999860.0
28,2.0,56228.0,0.0,56228.0,2.0,1961.0,-122.26855714999999,SPS-District K-12,K-12 School,SOUTHEAST,Yes,47.54573068,Error - Correct Default Data,1.0,36.85,K-12 School,58618.0,K-12 School,95.5,0.6175013165144609,0.38251087575393733,0.0,0.0,1496850.25
29,4.0,88592.0,30586.0,58006.0,6.0,2001.0,-122.31747125,NonResidential,Hotel,NORTHEAST,No,47.659561405000005,Compliant,1.0,96.045,"Hotel, Parking",58006.0,Hotel,84.5,0.5992547658738362,0.40075762752224664,0.0,0.0,3772170.25
30,7.0,126593.0,0.0,126593.0,7.0,1928.0,-122.3366096,NonResidential,University,DOWNTOWN,No,47.618276664999996,Compliant,1.0,348.32000000000005,College/University,125000.0,College/University,,0.4367178082598814,0.5632911341497233,0.0,0.0,10567621.5
31,7.0,67224.0,0.0,67224.0,2.0,1930.0,-122.33060551,NonResidential,Other,DOWNTOWN,No,47.61495291,Compliant,1.0,9.405000000000001,Automobile Dealership,67224.0,Automobile Dealership,,1.0000212582385517,0.0,0.0,0.0,1349476.8125
32,7.0,158676.0,30301.0,128375.0,8.0,1991.0,-122.32926063,NonResidential,Hotel,EAST,No,47.613006389999995,Compliant,1.0,253.0,"Hotel, Parking, Retail Store, Swimming Pool",112676.0,Hotel,,0.10536974702055377,0.8946323984124368,0.0,0.0,5243696.75
33,7.0,171866.0,38281.0,133585.0,10.0,2001.0,-122.32985722500001,NonResidential,Hotel,DOWNTOWN,No,47.617954525,Compliant,1.0,324.18,Hotel,128909.0,Hotel,38.5,0.5149337940059472,0.48507707119891785,0.0,0.0,11044430.5
34,3.0,126351.0,0.0,126351.0,1.0,1955.0,-122.30542935,SPS-District K-12,K-12 School,Central,No,47.622876855,Missing Data,1.0,122.255,K-12 School,126351.0,K-12 School,57.0,0.3076613828628797,0.6923513494501073,0.0,0.0,3141613.0
35,7.0,68410.0,16200.0,52210.0,5.0,1978.0,-122.34191984,NonResidential,Hotel,DOWNTOWN,No,47.615725245,Compliant,1.0,127.005,Hotel,47994.0,Hotel,58.5,0.5253889604389788,0.47462166646843035,0.0,0.0,4399210.25
36,5.0,160645.0,0.0,160645.0,2.0,1949.0,-122.293400875,SPS-District K-12,K-12 School,NORTH,Yes,47.71002749,Error - Correct Default Data,1.0,265.275,K-12 School,164229.0,K-12 School,77.5,0.2777636894016602,0.7222417029148053,0.0,0.0,6583441.5
38,4.0,87262.0,0.0,87262.0,3.0,1906.0,-122.33145087,NonResidential,Small- and Mid-Sized Office,LAKE UNION,No,47.664007784999995,Compliant,1.0,153.57999999999998,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",40943.0,Office,,0.33269620282963636,0.6673106198367859,0.0,0.0,4067324.75
40,4.0,81871.0,0.0,81871.0,4.0,1994.0,-122.29927209499999,NonResidential,Hotel,NORTHEAST,No,47.665840965,Compliant,1.0,229.185,Hotel,81871.0,Hotel,24.5,0.44594834442270975,0.554061202483601,0.0,0.0,7044166.75
41,4.0,118375.0,0.0,118375.0,2.0,1955.0,-122.29605161500001,NonResidential,Self-Storage Facility,NORTHEAST,No,47.66221163,Compliant,1.0,3.8200000000000003,Self-Storage Facility,26225.0,Self-Storage Facility,77.0,0.886273514646439,0.11374438289622835,0.0,0.0,312542.90625
50,7.0,54986.0,0.0,54986.0,2.0,1990.0,-122.390560485,SPS-District K-12,K-12 School,MAGNOLIA / QUEEN ANNE,No,47.656986035,Compliant,1.0,30.125,K-12 School,54986.0,K-12 School,94.0,0.7560908121221471,0.2439251442406038,0.0,0.0,1652945.625
51,4.0,175565.0,0.0,175565.0,2.0,1950.0,-122.29445770000001,SPS-District K-12,K-12 School,NORTHEAST,Yes,47.682485185000004,Error - Correct Default Data,1.0,262.36,K-12 School,182861.0,K-12 School,88.0,0.2503983967429257,0.7496066323440064,0.0,0.0,6313273.25
52,6.0,94900.0,0.0,94900.0,2.0,1961.0,-122.38539605,NonResidential,Small- and Mid-Sized Office,BALLARD,No,47.665839815,Compliant,1.0,126.82,"Non-Refrigerated Warehouse, Office",55586.0,Office,57.0,0.7016403380305551,0.29837417508764796,0.0,0.0,6115157.25
53,2.0,52554.0,0.0,52554.0,2.0,1900.0,-122.31156643,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,No,47.58018474,Compliant,1.0,70.41499999999999,"Office, Other - Education",51029.0,Office,88.0,0.5513372940522062,0.4486726784036741,0.0,0.0,2544508.625
54,6.0,175015.0,0.0,175015.0,3.0,1954.0,-122.33584596,NonResidential,K-12 School,NORTHWEST,No,47.688929185,Compliant,1.0,249.785,K-12 School,175015.0,K-12 School,95.0,0.38181030381229053,0.6181975470659261,0.0,0.0,7037429.25
55,7.0,70586.0,0.0,70586.0,3.0,1911.0,-122.35112964,NonResidential,Self-Storage Facility,DOWNTOWN,No,47.61331017,Compliant,1.0,42.65,"Office, Self-Storage Facility, Vocational School",38439.0,Self-Storage Facility,,0.7217749717757266,0.27824035677432496,0.0,0.0,2152845.5
57,7.0,168115.0,0.0,168115.0,5.0,1973.0,-122.3364692,NonResidential,Large Office,DOWNTOWN,No,47.61116988,Compliant,1.0,65.355,"Data Center, Office, Retail Store",103431.5,Office,78.5,1.0000202666645048,0.0,0.0,0.0,9375001.0
58,7.0,57428.0,0.0,57428.0,2.0,1920.0,-122.33766349999999,NonResidential,Other,DOWNTOWN,No,47.610761775,Compliant,1.0,16.63,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",43182.0,Other - Mall,,0.5731607985492584,0.42683920145074167,0.0,0.0,623681.0
59,7.0,59400.0,0.0,59400.0,8.0,1910.0,-122.337949645,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,No,47.610473,Compliant,1.0,31.33,"Office, Retail Store",34947.0,Office,14.0,1.0000178016695964,0.0,0.0,0.0,4493960.5
61,7.0,48383.0,0.0,48383.0,4.0,1900.0,-122.3403842,Multifamily LR (1-4),Low-Rise Multifamily,DOWNTOWN,No,47.60973588,Compliant,1.0,112.06,"Multifamily Housing, Retail Store",38172.0,Multifamily Housing,75.0,0.4905835363239832,0.19928738261587398,0.3101497356550452,0.0,2953338.0
62,7.0,98634.0,10043.0,88591.0,20.0,1930.0,-122.334369625,NonResidential,Hotel,DOWNTOWN,No,47.61231162,Compliant,1.0,68.495,"Hotel, Parking, Restaurant",83591.0,Hotel,58.5,0.8816299700480873,0.11839058879015049,0.0,0.0,5508579.75
65,7.0,71150.0,0.0,71150.0,7.0,1985.0,-122.34140275,NonResidential,Hotel,DOWNTOWN,No,47.609930465000005,Compliant,1.0,130.605,"Hotel, Parking, Restaurant, Retail Store",41340.0,Hotel,98.5,0.6061428720904298,0.3938692564828427,0.0,0.0,5194345.5
66,7.0,122810.0,0.0,122810.0,7.0,1908.0,-122.3409943,NonResidential,Hotel,DOWNTOWN,No,47.61155127,Compliant,1.0,218.55,"Hotel, Other - Entertainment/Public Assembly, Retail Store",88360.0,Hotel,99.0,0.24783134817844973,0.752173752821103,0.0,0.0,5244070.25
67,7.0,113173.0,42546.0,70627.0,5.0,1959.0,-122.34413825,NonResidential,Hotel,LAKE UNION,No,47.620116405,Compliant,1.0,132.76,"Hotel, Parking",70627.0,Hotel,86.0,0.5909087435591306,0.4091037654642802,0.0,0.0,5136292.25
68,7.0,150453.0,34735.0,115718.0,7.0,2000.0,-122.3427722,NonResidential,Hotel,LAKE UNION,No,47.6201609,Compliant,1.0,195.765,Hotel,107547.0,Hotel,83.5,0.5196185494750624,0.48039253842422197,0.0,0.0,6719036.5
